name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,snapshot_date,microarchitecture
Intel Xeon E3-1275 V2,374.0,4,3.5,,77,Intel HD Graphics P4000,True,2023-08-06,
AMD A10-6700,78.02,4,3.7,,65,Radeon HD 8670D,False,2023-08-06,
Intel Xeon E3-1275 V6,356.83,4,3.8,4.2,73,Intel HD Graphics P630,True,2023-08-06,
Intel Core 2 Duo E6750,129.94,2,2.66,,65,,False,2023-08-06,
Intel Core 2 Quad Q9300,172.0,4,2.5,,95,,False,2023-08-06,
Intel Core i3-2125,152.0,2,3.3,,65,Intel HD Graphics 3000,True,2023-08-06,
Intel Pentium G2120,52.0,2,3.1,,55,Intel HD Graphics,False,2023-08-06,
Intel Pentium G645,83.0,2,2.9,,65,Intel HD Graphics 2500,False,2023-08-06,
Intel Xeon E5-2640 V3,427.99,8,2.6,3.4,90,,True,2023-08-06,
Intel Xeon E5-1620 V3,80.26,4,3.5,3.6,140,,True,2023-08-06,
Intel Core i7-940,78.67,4,2.93,,130,,True,2023-08-06,
Intel Core i7-4960X Extreme Edition,730.0,6,3.6,4.0,130,,True,2023-08-06,
Intel Core i7-11700F,223.27,8,2.5,4.9,65,,True,2023-08-06,
AMD Ryzen 5 1600 (12nm),140.99,6,3.2,3.6,65,,True,2023-08-06,
Intel Core i5-4690K,90.0,4,3.5,3.9,88,Intel HD Graphics 4600,False,2023-08-06,
Intel Core i7-6700,210.0,4,3.4,4.0,65,Intel HD Graphics 530,True,2023-08-06,
Intel Core i7-3770,140.0,4,3.4,,77,Intel HD Graphics 4000,True,2023-08-06,
Intel Core i3-9100F,119.99,4,3.6,4.2,65,,False,2023-08-06,
AMD Ryzen 5 1600 (14nm),216.01,6,3.2,3.6,65,,True,2023-08-06,
Intel Core i7-10700,239.0,8,2.9,4.8,65,Intel UHD Graphics 630,True,2023-08-06,
AMD Ryzen 3 2200G,150.0,4,3.5,3.7,65,Radeon Vega 8,False,2023-08-06,
Intel Core i5-8600K,241.06,6,3.6,4.3,95,Intel UHD Graphics 630,False,2023-08-06,
Intel Core i9-9900KF,352.74,8,3.6,5.0,95,,True,2023-08-06,
Intel Core i5-7400,79.98,4,3.0,3.5,65,Intel HD Graphics 630,False,2023-08-06,
Intel Core i9-13900F,509.99,24,2.0,5.6,65,,True,2023-08-06,
AMD Threadripper 3960X,1483.0,24,3.8,4.5,280,,True,2023-08-06,
Intel Core i7-11700KF,263.99,8,3.6,5.0,125,,True,2023-08-06,
